0,1,2,3,4,5,6,7
-5654.141980903385,-6640.356825632671,-6523.110750092358,-6700.47184234522,-28422.455897624004,-40460.79253683001,-50505.08534968917,-111293.11308778681
-5648.218768622729,-6605.421049049026,-6503.552973693964,-6698.504888833152,-28419.81839177828,-40501.562118716494,-50511.7238177924,-111313.7213961746
-5640.038030152086,-6571.167000671268,-6485.47041242962,-6699.354255122454,-28418.946673744522,-40539.2695116126,-50517.80349228424,-111333.72620746211
-5608.477366981193,-6541.360949440116,-6467.767830821018,-6694.503926575652,-28414.63278706465,-40562.31416014602,-50521.424474886,-111345.19265236768
-5550.787514542046,-6510.258497030556,-6451.160484690725,-6687.396071838864,-28409.938920729033,-40577.84862254246,-50524.30784992073,-111351.9875826821
-5539.052848703009,-6500.457257086904,-6440.319888629901,-6683.752737492649,-28409.08955443973,-40588.577459881,-50529.04641974526,-111358.3354781074
-5540.148084181319,-6487.783817980745,-6430.79804549194,-6676.756641478139,-28407.748449772414,-40596.04294252908,-50535.05903900374,-111362.22468164262
-5556.9118925227995,-6486.029206041003,-6423.936059944161,-6673.783859465583,-28408.396650361618,-40598.389875696885,-50539.5293878948,-111364.41515259923
-5570.524104896082,-6481.815902211178,-6418.8398622083505,-6663.680870971784,-28407.793153261326,-40594.813596584034,-50546.79370484278,-111362.24703338707
-5622.044875865564,-6496.445118957176,-6414.593030761842,-6657.780010435583,-28407.971967216967,-40585.20234646826,-50549.25239673286,-111356.4355798287
-5711.876536831443,-6495.8080942402,-6411.553193515921,-6644.257205040122,-28406.474400338462,-40574.54056436307,-50556.42730670301,-111349.3277250919
-5756.401211786415,-6502.323627748922,-6410.189737104147,-6642.849045139438,-28409.84951375121,-40570.18197419429,-50561.07646954971,-111347.31606809094
-5776.04839516263,-6495.070486673175,-6403.4618620230995,-6628.722742643684,-28406.38499336064,-40566.13630844788,-50566.39618473008,-111342.28692558849
-5800.054168707629,-6491.740076749335,-6395.661103208197,-6627.918079843293,-28407.077897438754,-40571.29956141705,-50567.55847544176,-111344.00800991154
-5819.433131150381,-6477.434960297938,-6386.340425770334,-6617.16689076029,-28404.596853804214,-40580.642590599375,-50574.040481333795,-111346.91373669074
-5819.299020683649,-6463.621582224558,-6370.090707551326,-6614.551736659019,-28400.37237410216,-40593.47249191672,-50570.6877196655,-111351.20527162615
-5819.366075917015,-6444.063805826165,-6357.774896356452,-6605.052245265513,-28397.51135081188,-40610.52687293612,-50577.527353468824,-111358.89427171877
-5817.0638462381185,-6427.590570162603,-6340.6534601036865,-6604.806376076505,-28394.538568799326,-40629.90583537887,-50576.07449007923,-111368.12554217882
-5795.00267446073,-6409.608591748309,-6327.287116919412,-6596.312713183488,-28391.789304231323,-40648.68130072133,-50583.182344816014,-111378.00501322807
